#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
    290      13.097872    9.940426    1.791489       0           4        0.379386     0.632799   
    291      13.103571   10.007143   14.814286       0           4        0.533329     0.691466   
    292      13.147170   16.516981    5.049057       0           4        0.378287     0.707384   
    293      13.131915   16.468085   18.055319       0           4        0.418259     0.647410   
    294      13.139130   22.930435    1.782609       0           4        0.268463     0.658175   
    295      13.116667   22.933333   14.783333       0           4        0.374389     0.641613   
    296      13.112500    3.375000   18.008333       0           4        0.509995     0.686793   
    297      13.244000    3.480000   11.604000       0           4        0.442192     0.693074   
    298      13.273913    3.443478   24.586957       0           4        0.295694     0.670271   
    299      13.280000    9.928000    8.304000       0           4        0.360449     0.623538   
    300      13.204762    9.914286   21.285714       0           4        0.356552     0.535815   
    301      13.195918   16.387755   11.542857       0           4        0.451436     0.710392   
    302      13.230189   16.369811   24.554717       0           4        0.416060     0.696694   
    303      13.187755   22.897959    8.351020       0           4        0.545370     0.678460   
    304      13.247273   22.945455   21.341818       0           4        0.432699     0.720009   
    305      13.968539    1.795506   10.734831       1           2        0.954286     0.999707   
    306      13.950588    1.814118   23.715294       1           2        0.932301     0.987655   
    307      13.957647    5.037647    4.232941       1           2        0.984015     0.981986   
    308      13.993617    5.104255   17.202128       1           2        0.973622     1.063445   
    309      13.969767    8.302326    2.632558       1           2        0.954236     0.942721   
    310      13.960825    8.344330   15.602062       1           2        0.931551     1.267719   
    311      13.968182   11.536364    9.159091       1           2        0.915762     1.068308   
    312      13.973494   11.563855   22.161446       1           2        0.942094     1.036038   
    313      13.985106   14.789362   10.723404       1           2        0.911915     1.208934   
    314      13.967816   14.800000   23.708046       1           2        0.868795     1.041582   
    315      13.950000   17.991304    4.250000       1           2        0.873192     1.109578   
    316      13.993258   18.056180   17.215730       1           2        0.939196     1.017526   
    317      13.950538   21.391398    2.610753       1           2        0.938297     0.989869   
    318      13.970115   21.370115   15.604598       1           2        0.941594     0.994683   
    319      13.968675   24.580723    9.154217       1           2        0.874591     1.027608   
    320      13.959091   24.538636   22.136364       1           2        0.887732     1.072990   
    321      14.771111    4.208889   12.380000       1           2        0.846261     1.120110   
    322      14.730337    4.184270   25.364045       1           2        0.887282     1.070383   
    323      14.800000    9.123913    7.489130       1           2        0.845411     1.165367   
    324      14.774737    9.143158   20.475789       1           2        0.910816     1.192579   
    325      14.778049    2.653659    5.882927       1           2        0.972023     0.990932   
    326      14.833333    2.630952   18.911905       1           2        0.946441     1.005850   
    327      14.754217   10.681928    0.983133       1           2        0.968076     0.987358   
    328      14.855422   10.722892   13.944578       1           2        0.922907     1.021476   
    329      14.797647   15.630588    5.896471       1           2        0.963329     0.959847   
    330      14.814634   15.631707   18.909756       1           2        0.916862     0.946159   
    331      14.795556   17.222222   12.386667       1           2        0.953836     0.980149   
    332      14.800000   17.208889   25.388889       1           2        0.933400     0.980806   
    333      14.824719   22.148315    7.453933       1           2        0.954385     1.020635   
    334      14.820000   22.122222   20.462222       1           2        0.930652     1.019198   
    335      14.792593   23.718519    0.970370       1           2        0.949839     0.956158   
    336      14.800000   23.722353   13.957647       1           2        0.953136     0.998027   
    337      14.784000    0.128000    9.948000       0           4        0.376888     0.658592   
